label,text
1,"My absence record at work is fine. I’ve only had 1 day off in the last year. I’m just about to put a sick note into work, because I feel like I’m getting worse and my doctor has upped my medication.

I told my manager on Friday about my mental health and he just kind of shrugged me off.

I’m worried in case they have a go at me for putting in a sick note."
1,"I was diagnosed with PTSD back in December.

I thought it was just really bad anxiety at first. I couldn’t put my finger on one of the symptoms, though.

I explained the symptom to a co worker. I said ""when I’m around lots of people, or when I have been put in a situation, when I feel threatened. I feel as though, I’m not in the room, like it’s all a dream. Non of it is real""?

my co worker then said that it could be dissociation.

I told my therapist and they told me that dissociation is a whole other mental health condition.

it means split personality.

Dissociative Identity Disorder.

however, my therapist said a symptom of PTSD is dissociation.

I’m really not coping at the moment. I’m certainly not fit for work. My life is a complete struggle at the moment. I’m close to the edge."
1,"Hi all,

what I'm about to describe might seem silly (to me, it definitely is) and perhaps unmatched to what ""real"" PTSD is. My ""trauma"" is nothing close to sexual abuse, violence or something that serious, but it gives me some problems in daily life. So here we go.

In few weeks, I'm about to have an exam of skills and knowledge obtained on a certain course (no neccessary to go into details here). Yesterday, I had dreams that I failed it and I'm afraid I'm about to have those dreams regularly in following weeks. Anxiety attacks are becoming frequent as the date of exam is closing in.

This started to happen during my college time, when I first experienced such dreams. Always some time during exam period in January, June and September. It became regular, especially during senior years. I graduated and left college in 2013, but I experienced those kind of dreams and anxiety moments until 2016 (always, each year during January, June and September), when it kinda faded away. I can say that I stressed pretty much regarding finishing college, since no viable option was left if I failed.

Nowadays, every time I'm about to take some kind of exam (whether be language after completed course, driving exam, literally ANY kind of test/exam where my knowledge is rated by someone, instructor or professor), I start experiencing anxiety attacks and bad dreams at least several days before. No matter of importance, it can be just some petty course, even if I'd fail, it wouldn't have any negative impact on my life (contrary to exams in college).

Is it possible that this ""trauma"" has been caused by stressing too much about successfully completing exams years ago? It's becoming quite annoying to deal with. Is there any method to get it under control?

Thanks for your answers!"
1,"I’d like to talk about what’s happening to me and hopefully it’s at least a bit understandable. It’s going to be a long post, because I want to be clear what’s going on with me.

I suffer from severe anxiety and other weird problems. I haven’t had a clear diagnose. I’ve been to therapy multiple times and I have heard a few things coming by like avoidant personality disorder, agoraphobia, ocd, autism and more. The only thing I’m aware of is my official diagnose on ADHD and social anxiety disorder. The last one is obvious for me. I feel severely anxious around people, but it does not seem like a typical social anxiety issue though. I’ll come back to ADHD later on. 

So, if trauma can be the reason of why I feel this way is correct is kinda vague for me. My coach (not a official therapist) is pretty positive in the case. He showed me the symptoms of (c) ptsd and I must say, I relate to a lot of them. 

First of all, I must tell you where I deal with and I need to tell a bit about my past as well. I’ll try to keep it short, but that’s going to be a bit hard though, because there is a lot to tell. 

First of all when I was 5 years old my parents divorced and my mom met a new husband. My mom got pregnant pretty fast and soon we became trapped basically. At least once a week there was a situation getting out of control which ended up of me or my family getting hurt. Physical abuse, but also mentally. This went on for 8 years with a few situation that are still in my mind, but it’s mostly the constant feeling of not feeling safe. This all seems blurry to me though and I ask myself if I actually didn’t felt safe. I’m not sure, it’s a long time ago. Things came to climax after 8 years where the husband of my mom beat my mom up and we literally escaped to another place. 

I was very insecure at that time. Mostly socially. However, I am pretty good at hiding it. I finished high school which is quite a achievement if I look back again. Not much later I started experiencing with marijuana, which made me feel a bit paranoid or however you want to call it. However, I was smoking weekly with my friends, because I didn’t want to be different then them. In my first year of my new study I fainted in my classroom which was terrifying. Especially if you take the social anxiety in consideration as well. My first major panic attack happened because of marijuana. I basically experienced many of the same things I had with the fainting. One day in summer I decided to try magic mushrooms. Very impulsive. My friends experienced with drugs and I didn’t want to fall behind. The fear of losing control was very prominent while taking it. I just felt a incredible feeling of unease. I also took it in a forrest which wasn’t comfortable at all. I regret it still.. After that I finally decided to stop doing these drugs. Not much later however I experienced full blown panic attacks while feeling sober. However, it’s often not noticeable, because I feel like I have to hide it. So usually I pinch myself heavily when I feel there is a need to hide it. I started to feel super anxious in public and especially in places I couldn’t move out easily. 

I went out to search for help and after a few months I found some. I went to therapy over there for longer then a year. Long story short, it didn’t made me improve. It actually just went worse. They didn’t had a clear plan to really help me. I just did a few things here and there once a week. When that was over I fel in the deep and I spend longer then a year without help. I was waiting for therapy, but the waiting lists are very long. I started to develop more and more fears. Many aren’t easily to explain. I think the best way to describe it is that my mind constantly notice things that I can place in the category fearful and danger focused on going insane and losing control. In general I felt like I experienced the world through different glasses then others. The world just felt (still feels).. Unsettling. It’s just very hard to explain unfortunately. It’s just a constant feeling. Everything I feel and see.. Just feels fearful. Like I’m not supposed to be here. I also experience(d) intrusions which made me totally freeze up. Intrusions about hurting others. At least, I hope they are intrusions. Certain colors, drinks, foods, and numbers became fearful to me. Everything I can place under the term dark makes me totally anxious. In the meantime I went to look for help 1 time at a different place and it was a horrible experience, although it was just 1 meeting. I felt like I was in some kind of horror movie. Everything just felt very fearful. The people as well. 

I didn’t even tell about this yet, but I spend almost all of time at home. The first thing I wasn’t able to do was going to my study, later the bus, friends, family, grocery stores till a point where just simple walks where not possible anymore. A important notation is that I still live with at my moms house, so that’s why that’s possible. The contact with her is relatively good, although my fears are blocking the full potential. 

1 year later out of nowhere they called me for a appointment. In the meantime I developed all kinds of things, so the original question for help wasn’t really valid anymore. The time was limited to just 3 months and was completely focussed on exposure. Long story short (again). It didn’t help me. They send me to my current coach and I’m waiting for a new psychologist. I recently started in a social group via my coach where we go outside and just do some work like cleaning gardens and such. A huge step. Today I went for the first time and it was super tough. Most of the things I describe here where things I experienced today in high intensity. I felt just super intensely weird and overwhelmed. And again, it’s just hard to explain. 

I’m depressed. That’s not even a doubt. I think that also makes a lot of sense. I’m 21 years old now with no hope for the future. It just feels like I’m doomed in a fearful world. Sometimes I think about ending it all, but I know I’m way too frozen for that and I know it’s wrong at the end of the day. I’m afraid there is nothing I can do. I’ve tried a ton, but it never made me improve. Emotionally I feel completely stuck. I can’t cry. I hate how I lack of empathy. Although all of this avoiding is not only for myself, because I don’t want to hurt someone. I fear that I have something as schizophrenia or something like that as well, although everyone says I don’t have that. My fears just feels very weird. The way I think feels very out of order. 

Honestly, I can say I wish I was normal, but I don’t know what normal is anymore after feeling like this for almost forever. Social contact is something I struggle with. I wish that wasn’t the case. It’s just that my brain is just constantly speaking nonsense. I don’t know.. 

If anyone made it this far. Thanks for your time. If someone thinks he or she can might help. Please don’t hesitate to send a reply."
1,"Hello All,

I question if this is PTSD. 

I have been through a lot.

history:

Alcoholic parents- never hit me but demeaned a lot.

Ex-Husband abuse- He came back from war different and would attack me. But not the fist to the face. He'd push the air out my chest by pushing me down and with all his weight. He'd also put his full weight on my shoulder I injured in high-school. He'd also lock the door in the car speed and poke me in the face till I'd cry. He threw me in the Tub when I was throwing up from morning sickness. He verbally abused me and financially crippled me. It's been 10 years and I finally finished paying the debt I was left with. I was too afraid to fight so I paid.

My daughter's passing - She lived to be 4 years old. Don't like talking about it but she was sick then fine then sick then fine then sick and she went over her dad's house and never came home. She passed in her sleep.

Sexual abuse - I went on a date and I concented to sex, what I did not concent to was the manner. I was bruised from head to toe bleeding and bite marks. I never said no or stop because it was terrifying. I was also used to being obident with from the ex-husband but he never sexual abused me.

Since then I tend to find the same kinda abusive asshole. So I've stop dating, 3 years now.

I did get into drugs and alcohol for a bit of time, quit that too. I drink responsible and never past a certain point. (once a week, if that)

I have issues sticking with decisions and change my mind often career, hair color, fashion, car, and diet. Horrible memory issues that hit me at random. I feel lost a lot of the time and not worthy positive things. I am also confident in my work ethic and capable I can do any job. I lack confidence is social situations and relationships. It's been 9 years and I have finally decided to make friends, all female. Males scare me if they give me a compliment or want to hang out. The second I step out of my comfort zone, I almost have a mental break down. I keep moving back home too. The voice in my head is my ex-husband and my other ex. I sleep what I would consider normal, like before all this but I do still get out of control nightmares and I have issue knowing where I am when I wake up. I also can deal with paranoia the my ex husband is going to find me and hurt me. I always use my parents address even when I don't live there, I've changed my phone number an insane amount of times. 

Is this PTSD or something else? I've sought help for dealing with my daughter passing but I never connected well with the therapist. So 3 sessions only. 

Any suggestions would be much appreciated, I am sick of fear and doubt."
1,"Hey all,

First time on this specific forum so I'll try and be as thorough as I can. 

Basically I've had two different diagnoses, from two different medical professionals, one being PTSD and the other being a hybrid of various phobias and my pre-existing panic disorder. 

Let's start with symptoms. Most prevalent are insomnia and night terrors. Lot of sleeping problems based around my body being ""frightened"" awake, like how a loud bang or something would scare me walking out and about. Heightened aggression is also on the list, I'm way more on edge and aggressive than I've ever been in my life before. Things like loud noises, being trapped in enclosed spaces or among big groups of people, all send me into a frenzy of panic attacks, followed by my cognitive functions stopping entirely; I literally cannot think so I either freeze and stand there for 10 mins or I start destroying everything around me. 

Context: Almost died a couple times (all events occurring while I was alone), usually in situations that arose and passed in a matter of minutes. Also seen death plenty. Family members, pets, all dying in real time right in front of me. Then again, I'm under the impression that most people go through this. The only outlier was an incident in which I fell under lake ice as a child, and had to be rescued and resuscitated. 

My point: I've never been in lethal combat or gone through any other severely traumatic experiences outside of what's common. Yet I'm constantly ready to 'fight or flight' with the lightest of triggers. Loud noises and icy water. Two seemingly normal occurrences, make me fear for my life on a regular basis. I can understand the second one, but I cannot make heads or tails of my sleeping issues, and my aversion to excessive noise. 

Is this PTSD? Or simply a mix of phobias compounded by an existent panic disorder? I don't know much about PTSD so it could very well be a type of panic disorder on its own, which is why I'm asking for advice here, on this forum."
1,"TRIGGER WARNING:

Mention of rape and description of forced sexual activity in this thread.


Hello I’m new here.
I’m here to ask this because I genuinely don’t know. Apologies that this will be long.

So I’m 23 and a few years ago when I was a teenager, I was in an INCREDIBLY abusive relationship. It only lasted a few months and I did break up with him, but in those few short months, the things he did to me have left me with a lot of trauma. A lot of emotional, physical, mental, verbal and sexual abuse. Just all of it. 😞
For a little more context and so you can hopefully understand my story a little more, I’m a transgender man (female to male), and I am gay; I currently have a wonderful, supportive husband.
(Note: I’m not interested in people’s personal issues or opinions or whatever about either of these facts, so please don’t bother going there in the replies. These facts however, are relevant to a part of the story.)

Anyway:
I was in this abusive relationship, and he did rape me.
This was proven to the police, and in a court of law. Obviously at first he denied it but then later confessed, and after a horrible and long ordeal, he was finally put in prison. However, there was an incident mere DAYS before the one which got him imprisoned...
I don’t know whether it was rape or not.

He had two best friends; one of whom was also his cousin. They weren’t particularly nice people either.
On this particular occasion, my then-boyfriend had these two friends over at the same time as me. We were all playing video games together.
But the three of them kept making sexual comments, whispering to each other and laughing.
Something about it all made me very uncomfortable, and I kept wishing they would leave.
At one point, I went to the bathroom, and when I came back, they were all standing up and the TV and console has been switched off.
My then-boyfriend was laying a towel down on his bed.
I figured his friends were now leaving.
My then-boyfriend held his arms out to me and pulled me against him to kiss me. Again, I was pretty uncomfortable doing this in front of his friends, so I gently pushed him away.
But he pulled me back and kept kissing me and his hands were wandering.
Again, got uncomfortable in front of his friends, and asked him if they were leaving now, and he laughed and said no, we were going to “put on a little show”?
I turned around and at this point, his friends were now sitting down...touching themselves!?
Obviously I got even MORE uncomfortable and told my then-boyfriend I wanted to be alone, just me and him. But he said no, it’s rude to ask his friends to go home, and besides I “needed to prove my trust in him”!? I said “are you kidding? You’re still trying to earn back my trust?” (He had cheated on me - a one off as far as I know, and had somehow manipulated me into giving him a second chance even though I had dumped him after finding out. He was VERY good at messing with my head.)
He said “this will prove it. This is something I would only ever do with someone special.” And I had no idea what he was talking about.
The next thing I remember, was his friends starting to grope me all over. I had recently had my top surgery (double mastectomy), and one of them said to my then-boyfriend “I thought you said he was trans? Where are his t**s?” And my then-boyfriend said “oh he had that surgery already.” Then that same friend went “ugh where’s the fun in that?! Oh well. We’ll have to make do with what’s there.” At that point my then-boyfriend told them I hadn’t had my ‘other surgery’ yet.
I freaked out at this point and said to his friends “I’m not here for anyone’s ‘fun’. I’m *insert name here*’s boyfriend; not yours!”
They laughed.
My then-boyfriend then took over and pushed me back on the bed... 
The next thing I know, all three of them are on me from all angles! I couldn’t get up and I said I don’t want to, but they didn’t listen to me.
My then-boyfriend told them it’s fine and to go ahead. He doesn’t mind!
I said “well I mind!” But again nobody listened to me.
Then they took it in turns to have sex with me. I tried to get up but they would keep just pushing me back down again.
They were all pretty muscular and masculine guys and I had trouble pushing them off me. But I didn’t shout or scream or fight. I did try to get away but they would just drag me back in place and carry on like I was a rag doll...
Eventually I just stopped. I couldn’t do anything. I completely froze and was dazed, I remember feeling completely “out of it” even though I hadn’t been given anything to my knowledge?
I just... there are parts where I remember exactly what they were doing, and there are parts where I just draw a blank and don’t fully remember...
When they were all done with me, I just lay there and couldn’t move.
My then-boyfriend slapped me on the behind and said “good boy. You did really well. I’m proud of you”.
And I couldn’t even say anything.
Then his friends all got cleaned up and dressed again and left. My then-boyfriend told them “same time again next Saturday fellas. I’ll text you.”
The whole time it was happening, none of them spoke to me. They did everything with my then-boyfriend’s “permission” but not mine. They just passed me around between them. And I was so “out of it” in my head and my body just felt limp and like I had no control over it. 

Anyway I’m sorry to go into such detail. I hope I didn’t trigger anyone. I’m so sorry if I did!
My question is, was this rape?
Because I did freeze and my mind went blank. I didn’t do enough to stop it but I definitely didn’t consent, and I didn’t want it.
I didn’t climax or anything like that. I know that much. I definitely didn’t enjoy it!
I know I was so stupid. I would never willingly sleep with more than just my romantic partner - I’m not that sort of person! 
I feel like it’s all my fault though because I didn’t do enough.
I finally confessed all to my husband and a close female friend; both broke down in tears and said they were so sorry and that it was gang rape... 
Was it?
I’m not entirely sure.
I did not consent to any of it, that much is true. But I froze and didn’t fight hard enough.
I quite literally didn’t feel like I could even move! I felt too light to move, if that makes sense?

Please can anyone shed some light on what you think this was? I really don’t know if it was rape or not? Since I froze like that and didn’t push them off me hard enough or protest loud enough. I didn’t want it I swear! They asked him instead of me, but...
I’m so confused. I’ve held on to this for years and I blame myself entirely.
I’ve never told anyone until now. They knew about him raping me on his own, though.

I feel like an idiot even asking, but I genuinely don’t know. The trauma from it has been eating me up and affecting me in various, very specific ways ever since.
I couldn’t hide it any longer.
It’s been causing me to act impulsively out of fear (fleeing the house and pushing my husband away - without meaning or wanting to! - at the slightest argument), avoiding certain things like gaming because of what was going on just before this took place, and just having awful thoughts and nightmares. It’s been getting worse and worse. I know I’m traumatized, whatever it was. I’ve been feeling so low and worthless and hopeless, just feeling dirty and disgusted in myself and like a sl*t... 😞
I hate myself so so much. I can’t bear it.
I know me fleeing the house at the slightest argument, and pushing my husband away is hurting him, and I hate myself even more for it. I don’t mean to hurt him of course! He is my whole world. He’s been. so understanding and caring and supportive though, which just makes me feel even worse. This is why I eventually had to come clean to him about it. He’s been fantastic and I hate myself so much for hurting him because he’s just been so supportive and so kind and caring about this whole thing. I don’t deserve him 😢 

Please help me shed some light on the truth? Was it truly rape? I don’t even know anymore. I get so many mixed messages and mixed feelings about it.

Thank you so much for reading this far.
Sorry if I haven’t made much sense."
1,"I am of course new here and I thought maybe talking or rather typing and reading things that others are going through similar to me would help... I have PTSD and BPD due to a horrific childhood abuse in every form of the word. I am 41 now and have made some really bad mistakes due to me trying to ""punish"" myself as my dr said because it is what I know. So a little back story is I am married with children and have a wonderful spouse. However after we had a child something really changed me and I decided to cheat and cheat more than once and when I did I became someone I am not in real life. My spouse has kept me around and even helped me through a few hospitalizations. I am past that part where I feel the need to cheat and become anything other than me but I am really bothered by how I block EVERYTHING out. I don't remember most of my childhood nor a lot of the years while I was cheating. It's like I can remember somethings like they were yesterday but I literally feel like a black hole when it comes to a lot. I feel lost sometimes when my spouse brings up the past because I can easily forget about it BECAUSE I really don't remember it. They however do and sometimes it builds up and it unleashes (which I do not stop because everyone needs to be able to get things out) I get super emotional of course because of the way I made them feel and what I have done to them but I also get so mad at myself when I get asked questions or get asked if I even remember because they do not think I block things out they think I just don't want to talk about it. Honestly in reality I wouldn't enjoy talking about it but I would prefer to be able to. I get HORRIBLE flash backs from my childhood but when I try to remember things its like I am trying to remember what happened to someone else. I feel alone in this and just need some kind of hope that I am not the only one dealing with something like this... Does anyone else have any problems like this and if so how have you been able to live with it? Any insight might be nice"
1,"Long story incoming with lots of background detail on existing relationship for context: 

I have a very loving relationship with a man who I’ve been with for five years now. He has supported me and stayed with me despite a large amount of that time being long-distance, with me relocating three times for work or education related reasons, and at times rarely being able to see one another, and although there has been strain because of these issues, our bond has always been incredibly strong and loving. There have been times in our relationship where perhaps I did the wrong thing - for example I decided after we should break up at one point when I was studying overseas, as I was finding the distance too difficult and missing him too much. This only made the situation worse, and I realised this wasn’t what I wanted, and we were able to reconcile things. Another two years later, at a particular point while we were living together, my partner was incredibly busy working two jobs, and I was busy with my own job in a bar, and as he was very tired and we were rarely having sex or connecting emotionally, I began to feel neglected, and started to develop feelings for a person I worked with. I communicated this to him, and we had a week or two apart while I figured out what was going on, and ultimately I came to understand that I was just needing more support from my partner, and was afraid that I was losing him emotionally, and that I didn’t want anyone else, so we were able to rectify things, although understandably it took a while to rebuild trust in this situation. 

This year I had been planning to move overseas for a one year job contract, but due to the pandemic my departure date of last September was continually pushed back, and me and my partner passed a year living together really happily. I was amazed at how while other couples seemed to be struggling with strains of the pandemic on our relationship, we had only grown closer. The only real issue we experienced in our relationship at this time was that I struggled with his extremely overblown reactions to what he perceived as criticism. If I would ask him a seemingly benign question sometimes like what he had planned for the day, he would suddenly switch into this angry irrational state where he shouts at me to **** off, before coming out of it and realising that I wasn’t intending to attack him and being very apologetic for his behaviour. This has led to many arguments with me not understanding why he would speak to me that way, but one thing that kept coming up was that in the moment when he felt attacked he would say he was incapable of rations thought and just reacted. The more I read up on this, the more it became apparent to me that he was suffering with PTSD. He has told me about various traumatic events that happened to him when he was younger that left him returning to his mother’s home and barely living for quite some time, only really leaving the house to go to the pub. He also  suffers from various unexplainable ailments such as fibromyalgia, random sharp pains and headaches, and issues with IBS, which it amazed me to read are common in trauma sufferers, and allowed me to make a lot more sense of what he was going through, and feel more sympathetic to it. He struggles also with being in places that are unfamiliar to him, and will be on extremely high alert at all times in these situations, struggle to take in conversations and react to small changes in the environment. I had previously thought this was just some form of anxiety, but the more I read on PTSD the more all these patterns of behaviour fit together. I also have been reading lots of books on PTSD to try and help me understand how to help him better, as he is incredibly reluctant to speak to a therapist. 
 
At one point in the past couple of months, he broke down and told me he couldn’t cope with me leaving overseas for the job, and that I’m his whole world. I tried to tell him that it doesnt have to be forever, and if we aren’t coping well with it either I can come back or he can come out there, and we will see how things go. It seems silly now, but I had planned at around the six month mark of being there to ask him if he wanted to marry me, but I never communicated this to him, so I can understand where his doubts would come from about me going, especially after the break up we had the last time I was over there.

During the pandemic, my partner also lost his grandmother who he was not able to see leading up to her death at all, and although he rarely showed emotion around this, I understood it must have caused him a lot of pain. Earlier this year, he also found out that his grandfather’s cancer was terminal, and he had been discharged from hospital so can no longer see him. He is a very sensitive person who feels things incredibly deeply, and although he may not often verbalise his feelings, I understood that he was really struggling with this.

This was around the time I noticed a sudden and dramatic change in my partner. Some days he would be still be his usual self, but there were becoming more and more days where he would sit on social media all day doing nothing. He started to develop obsessions with the past, constantly scrolling through decade old pictures and changing his social media profile pictures to these, obsessing over finding pictures of his old cat that passed away a long time ago, and suddenly taking an interest in hobbies he hadn’t pursued in a decade or so, such as skateboarding. I became increasingly concerned because I could see him spiralling and didn’t understand whether this was grief or PTSD, and he was also spending significant amounts of time making emotional and personal posts on his Twitter account,which is very out of character for him - he tends to just post about films or post jokes. He seemed to be connecting with more women via social media, which was making me feel incredibly insecure, and we spoke about this a couple of times and how it was making me feel. He very rarely seemed capable of genuine smiles, and all his silliness that I love so dearly seemed to have disappeared overnight. I tried talking to him about this on several occasions, and he told me he was just feeling numb to everything at the moment.

Eventually, it got to a point where I felt I was being as supportive as I could, and he was still reaching out to other women on the internet a lot, and liking their selfies etc, and I told him I felt this was really disrespectful to me, especially as we had already spoken about how it makes me feel. He seemed understanding of why I would be upset by it and apologised, but the whole time it felt he was almost not even in the room with me. At the end of this conversation, I asked him, ‘There isn’t anyone I need to worry about is there?’, and he hesitated before saying that there might be, and that he had been speaking to a girl on the internet over the past couple of weeks that he thought he might have a crush on.

I was in shock and devastated at this, and I asked him did he still love me, he told me that yes, he loved me deeply, he had never been more attracted to me, and that he still thought we were insanely compatible and were soul mates, so he couldn’t understand it either. We talked emotionally for a while, and he kept reiterating that he loved me so much. I admitted to him that I had wanted us to get engaged in the near future, and he broke down and told me he had been thinking the exact same thing, and had had a lot of thoughts about how the wedding would be.
He told me he had spoken with his best friend about these thoughts he’d had about this other woman, who had told him that it’s quite normal to get crushes when you’ve been with someone a long time, and that what matters is how you choose to deal with it. 
we agreed to give each other space for him to clarify his feelings, and at the beginning of the week he would message me telling me things like how he had never had any doubts about me and always been totally crazy about me, but then towards the end of the week he suddenly became very robotic in his messages and cold, when he replied at all. I was unsure at the time whether I should carry on messaging him and supporting him through what he was dealing with, but then two days ago had a realisation that as long as he isn’t sure if he wants to be my partner, it’s not really my place to give him constant reassurance despite my feelings towards him, and it was doing me a lot of harm.
Having this space to myself has made me realise a lot of things about my own past traumas and fear of intimacy that causes me to become very uncomfortable when things are smooth, and explains why I have felt the need to move away so often in the past. I realised that moving overseas for this job isn’t really what I want, and that I would much rather make plans together with my partner, and find more satisfying work I can do here, as I was already having doubts about whether the job was really right for me. I’m working with a therapist to help with my own fears of intimacy and goal setting for the future, and have been doing lots of mindfulness and self-care activities to try and clarify my mindset. I am also seeing a rape counsellor to speak about something that happened to me when I was in my year abroad at university. I communicated all of these realisations I had had to my partner, as I was feeling that it was likely his feelings that I was abandoning him may have been a huge cause of his emotional withdrawal, and he told me he was really happy to hear this and wished he had known sooner, and that he just needed time to process what he is going through.
I don’t understand how a person can be madly in love in one instance, and withdrawn and numb the next, and I can’t help but feel he has intentionally or subconsciously put up some kind of guard to protect himself because of his fear of me going away. The strange changes in his behaviour tell me that something more is going on than this being just about our relationship.

Can anyone who may have been through a similar pattern of behaviour, or knows more about PTSD give me some advice on this situation? I’m deeply in love with this person, and would do anything to help him through this, but I appreciate and respect his need for space."
1,"Hello everyone, 
So my sister was sexually assaulted during a trip she went one year ago to visit her best friend who was participating in a student exchange program at that time. Her friend was basically very busy during my sister’s stay so one of those days my sister decided to hang out with a guy she had just met there. They just went for a morning coffee and then he suggested to  go to his dorm room. Unfortunately, his intentions weren’t pure and my sister was forced to experience something so horrible, so devastating in a trip she has been dreaming for months. When she told her friend what had happened she wasn’t very supportive , as if she couldn’t realize this was a sexual assault. She couldn’t understand how serious things were. She never understood and never helped my sister. So when my sister came back she was totally broken. As we live in different cities we were only talking on the phone every day at that time . She hadn’t told me  what happened until six months later, when she came to stay with me for a month. I was shocked. I could tell something was torturing her those six months as she was telling me that something bad happened on that trip but it never crossed my mind. Oh my god, it was horrific. I didn’t know how to react, I just cried and cried and hugged her. I was devastated. I still am. The thing is i didn’t know what was the best way to help her. So I decided not to ever bring it up again, I didn’t want her to remember and relive those moments.  I don’t know if I’m doing the right thing just pretending it never happened. I’m just scared. It’s very difficult, I think about it almost every day, what I should do or should have done because it’s been a year now. And I don’t want this to affect my relationship with my sister. I’m so afraid to ask her how she feels. I don’t know what to do. Can someone help me deal with this and advise me how to help my sister ?"
1,"I was in an emotionally and sexually abusive relationship several years ago (I'm female, partner was male).
Sometimes I see him in other people, and get a bit disturbed. I had a boss recently who had the same personality as my abusive ex, and I had to quit the job because he reminded me too much of him. This has happened with other people sometimes -- friends, potential partners, coworkers.
I even see it in myself sometimes -- I'll get super impatient with someone and have a slight outburst, but I recognize it. I consciously realize what I did, and that it is probably a result of having been in an abusive relationship.
Is this part of PTSD? Seeing traits of an abusive ex in other people?"
